Sl No,Components' name,Components' Value,Manufacturer Part Number (MPN),Link to Datasheet,Package/Footprint,Quantity,Vendor Link-1,Vendor Link-2,Vendor Link-3,Vendor Link-4
1,STM32F103C8T6,176,STM32F103C8T6,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,SMD LQFP-48,2,https://robu.in/product/stm32f103c8t6-lqfp-48-arm-microcontrollers-mcu/,https://evelta.com/stm32f103c8t6---32bit-arm-cortex-m3-microcontroller-72mhz-64kb-flash-48-pin-lqfp/,https://www.digikey.in/en/products/detail/stmicroelectronics/STM32F103C8T6/1646338?msockid=33cd2190f636665f1fcb3795f7df6785,
2,M177 NRF24L01 2.4GHz Antenna Wireless Transceiver Module,71,NRF24L01,https://docs.nordicsemi.com/bundle/nRF24L01P_PS_v1.0/resource/nRF24L01P_PS_v1.0.pdf,PCB(4x2 pins),2,https://robu.in/product/m177-nrf24l01-2-4ghz-antenna-wireless-transceiver-module/,https://robocraze.com/products/nrf24l01-ultra-low-power-2-4ghz-rf-wireless-transceiver?_pos=1&_sid=ef1bf66bb&_ss=r,https://probots.co.in/nrf24l01-rf-wireless-transceiver-2-4ghz-module.html,https://quartzcomponents.com/products/nrf24l01-24f-rf-transiver-module
3,Mechanical Keys(Pack of 10),300,NA,NA,5 Pin Through Hole,1(Pack of 10),https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-mechanical-pro-switch-5pin/,https://amzn.in/d/090QFwbe,https://www.amazon.in/Buildcon-Linear-Keyboard-Compatible-Keyboards/dp/B0FQTZMC9R?crid=1JHF06NOKDTZC&dib=eyJ2IjoiMSJ9.IoQAJOg9QA7QpG4sGvf5vu-hrmkR7Nnp7vNpN3HP1f5UNsZaOB1vnu-XlCM8ZqoX48o-p_swYHPRqYz3w4Rmz2t0dU_6XuaA3TMdqHfHL7Qz8qKwQHiEPsATeEhNfNMG2DJF_ju5UsR4bIxJBdCmmU8Q1Zz0CK9P50g4PFpcP14QsfxbivruWlbOuunguV_RPm-0alK7ENdlCGzwCGsiqoO4hxnR3jweirXimQlqPgk.ppTxUJHi0YVUpCOVI7Xy5O7Cbz7wzc_iR3pLvZQ7cYw&dib_tag=se&keywords=mechanical+keys&qid=1772016189&sprefix=mechanical+k%2Caps%2C352&sr=8-4,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/
4,Kailh Hot-swap Socket(Pack of 10)),80,CPG151101S11-16,https://www.lcsc.com/product-detail/C5156480.html,SMD,1(Pack of 10),https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/,https://neomacro.in/products/kailh-mx-hotswap-socket?variant=49467139227926,,
5,TP4056 Module,15,TP4056,NA,PCB(Module),1,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/#tab-description,https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1,https://robokits.co.in/batteries-chargers/charge-protection-circuit/tp4056-1a-5v-li-ion-battery-charge-discharge-protection-module-type-c-usb,https://quartzcomponents.com/products/tp4056-battery-charging-protection-module-type-c?_pos=6&_sid=9675e14f4&_ss=r
6,Battery Protection (DW01A),4,DW01A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7833/DW01A%20SOT-23-6.PDF,SMD,1,https://robu.in/product/dw01a-4-3v-lithium-ion-lithium-polymer-battery-protection-ic-6pin-sot-23/,https://www.digikey.in/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/DW01A/28143000?msockid=33cd2190f636665f1fcb3795f7df6785,,
7,FS8205A,8,FS8205A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7158/5272_FS8205A.pdf,SMD,1,https://robu.in/product/1-month-warranty-398/,https://www.digikey.in/en/products/detail/evvo/FS8205A/26220994?msockid=33cd2190f636665f1fcb3795f7df6785,,
8,TP4056,7,TP4056,https://www.digikey.com/htmldatasheets/production/2049110/0/0/1/tp4056.html?msockid=33cd2190f636665f1fcb3795f7df6785,SMD,1,https://evelta.com/tp4056-4-2v-1a-li-lon-battery-charger-with-thermal-regulation/,https://robu.in/product/1-month-warranty-1253/,,
9,0.96 inch Yellow-Blue OLED Display Module,200,NA,NA,PCB(4 pins in sequence GND VDD SCK SDA),1,https://robu.in/product/0-96-inch-yellow-yellow-blue-oled-lcd-led-display-module/,https://quartzcomponents.com/products/oled-display-0-96-inch-i2c-interface-4-pin-blue-ssd1306?_pos=3&_sid=08ef657d3&_ss=r,https://robocraze.com/products/0-96in-oled-display-module-4pin?_pos=1&_sid=e498cf4c5&_ss=r,https://robocraze.com/products/0-96in-oled-display-module-4pin?_pos=1&_sid=821c7db53&_ss=r
10,Lithium ion battery ,available in lab,"AA546(Lab item ID),BPK-QC1411",NA,NA,1,https://robu.in/product/samsung-inr18650-25r-2500mah-li-ion-battery/,https://robu.in/product/dmegc-inr21700-45e-3-7v-4500mah-li-ion-battery/,,
